STATUS OF PROCUREMENT AND CONTRACT - PANGASINAN IRRIGATION MANAGEMENT OFFICE,,,,,,,,,,,,,,,,,,,,,,,,,
CY 2026 PROJECTS,,,,,,,,,,,,,,,,,,,,,,,,,
"as of March 25, 2026",,,,,,,,,,,,,,,,,,,,,,,,,
No. of Proj.,Name of Project,Municipality,Allocation and ABC,,BID-OUT,For Bidding,Date of Bidding,AWARDED,Date of Award,Contract No.,Contract Amount,Name of Contractor,Remarks,Project Description,,,,,,,,,,,
,,,FY 2026 (Allocation),Approved Budget of the Contract,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PANGASINAN IMO,,,,,,,,,,,,,,,,,,,,,,,,,
General Appropriations Act CY 2026,,,,,,,,,,,,,,,,,,,,,,,,,
10,TOBUAN CIS (REPAIR CIS CY 2026),LABRADOR,"10,000,000.00",,,,,,,,,,,Repair CIS - Construction of Embankment Protection and Canal Lining and Structures @ Lateral A (Sta 0+000-0+267) and Lateral B (Sta 0+000-0+540),,,,,,,,,,,
11,SAN JOSE IRRIGATION PROJECT (REPAIR CIS CY 2026),LINGAYEN,"22,000,000.00",,,,,,,,,,,"Repair CIS - Construction of Intake Structure and Proc./Inst. Of Steelgates Irrigation Gate, San Jose River, Barangay San Jose (Lat. 16-01-14.31 120-13-23.72)",,,,,,,,,,,
12,SALPAD IRRIGATION PROJECT (REPAIR CIS CY 2026),SAN NICOLAS,"10,000,000.00",,,,,,,,,,,"Repair CIS - Construction/Rehabilitation of Irrigation Canal Lining, Barangay Salpad, San Nicolas",,,,,,,,,,,
13,VARGAS CIS (REPAIR CIS CY 2026),AGUILAR,"80,000,000.00","75,747,910.31",,,,,,,,,C/O Regional Office No. 1,Repair CIS - Modification of Dam and Slope Protection,,,,,,,,,,,
1,Service Road of Communal Irrigation Systems,,"50,000,000.00","48,066,643.55",1,0,,0,,,0,,,,,,,,,,,,,,
1,CALSIB CIS (ISRCIS CY 2026),AGUILAR,"50,000,000.00","48,066,643.55",1,,15-Jan-26,,,R1-PIMO-26-12-026,,J.C. BAAK CONSTRUCTION CORPORATION,Bidded,Service Road CIS - Concreting of Service Road and Embankment Protection,,,,,,,,,,,
7,Small Irrigation Project (SIP),,"180,000,000.00","23,473,738.63",0,1,,0,,,0,,,,,,,,,,,,,,
1,PAMPANO SIP (SIP CY 2026),MANGATAREM,"25,000,000.00",,,,,,,,,,,SIP - Construction of Intake Structure with Solar Pump and Canal Lining,,,,,,,,,,,
2,ATEL-BATANG SIP (SIP CY 2026),INFANTA,"15,000,000.00",,,,,,,,,,,SIP - Construction of Intake Structure with Solar Pump and Canal Lining,,,,,,,,,,,
3,DORONGAN-PUNTA SIP (SIP CY 2026),MANGATAREM,"50,000,000.00",,,,,,,,,,,SIP - Construction of Intake Structure with Solar Pump and Canal Lining,,,,,,,,,,,
4,CABINGUANGAN SIP (SIP CY 2026),MABINI,"25,000,000.00",,,,,,,,,,,SIP - Construction of Intake Structure with Solar Pump and Canal Lining,,,,,,,,,,,
5,ANDIKET-BATO SIP (SIP CY 2026),SUAL,"25,000,000.00","23,473,738.63",,1,16-Mar-26,,,R1-PIMO-26-02-028,,,Bidded,SIP - Construction of Intake Structure with Solar Pump and Canal Lining,,,,,,,,,,,
6,PITA SIP (SIP CY 2026),INFANTA,"25,000,000.00",,,,,,,,,,,SIP - Construction of Diversion Dam and Canal Lining,,,,,,,,,,,
